Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,official_video,Stream,most_playedon,Total_popularity,Energy_level,Loudness_level,Tempo_level,Speechiness_level,Valence_level,Popularity_level
Rainbow Kitten Surprise,All'S Well That Ends,RKS,album,62,47,-11.0,4,18,119,3.4,4783452,32511,369,False,True,40066639,Spotify,44850091,Medium,Medium,Fast,Very Musical,Very Sad,Very High
Rainbow Kitten Surprise,Heart,Mary (b-sides),single,63,55,-8.9,12,38,78,3.7,865816,11528,293,True,True,38316820,Spotify,39182636,Medium,Loud,Slow,Musical,Sad,Very High
Rainbow Kitten Surprise,When It Lands,"How to: Friend, Love, Freefall",album,72,48,-9.3,9,36,120,4.5,1827581,15246,258,True,True,33993392,Spotify,35820973,Medium,Loud,Fast,Very Musical,Sad,Very High
Rainbow Kitten Surprise,Work Out,Work Out,single,64,59,-10.6,4,23,129,4.9,309363,7830,409,True,True,11752028,Spotify,12061391,Medium,Medium,Fast,Very Musical,Sad,Very High
Kaytranada,Intimidated (Feat. H.E.R.),Intimidated,single,73,75,-3.7,21,34,112,3.5,3538381,60259,936,True,True,52989007,Spotify,56527388,High,Very Loud,Fast,Mixed,Sad,Very High
Kaytranada,You'Re The One,99.90%,album,82,39,-9.7,33,25,118,3.8,17868577,224672,2545,True,True,134181272,Spotify,152049849,Low,Loud,Fast,Mixed,Sad,Very High
Kaytranada,10%,BUBBA,album,79,75,-6.6,12,61,107,3.1,11650171,159858,2505,True,True,93637411,Spotify,105287582,High,Loud,Medium,Musical,Happy,Very High
Kaytranada,Be Your Girl (Kaytranada Edition),Be Your Girl (Kaytranada Edition),single,86,68,-6.7,38,26,115,4.5,9771922,115650,221,True,True,60630476,Spotify,70402398,High,Loud,Fast,Mixed,Sad,Very High
Kaytranada,Chances,NOTHIN LIKE U / CHANCES,single,83,52,-7.3,12,61,106,3.6,2065559,32637,319,False,False,73769394,Spotify,75834953,Medium,Loud,Medium,Musical,Happy,Very High
Kaytranada,What You Need,BUBBA,album,78,71,-6.3,13,60,111,3.1,1169418,15311,306,True,True,28185012,Spotify,29354430,High,Loud,Fast,Musical,Happy,Very High
Kaytranada,Vex Oh (Feat. Eight9Fly),BUBBA,album,74,64,-10.2,38,80,112,2.7,5640223,59318,593,True,True,55283869,Spotify,60924092,High,Medium,Fast,Mixed,Very Happy,Very High
Kaytranada,Twin Flame,Twin Flame,single,61,70,-7.1,24,33,100,3.9,1925943,55524,1356,True,True,11911005,Spotify,13836948,High,Loud,Medium,Mixed,Sad,Very High
Kaytranada,Got It Good,99.90%,album,55,50,-6.7,17,30,80,3.8,2711479,41012,110,True,True,80372960,Spotify,83084439,Medium,Loud,Slow,Musical,Sad,Very High
